图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0022.jpg,0022.jpg,colmap_tracks,1,ok,4387,4000,100306,0,16033,0.0019329909336419752,0.9954606352449269,"0,0,2160,3840",
0023.jpg,0023.jpg,colmap_tracks,1,ok,3603,3325,74669,0,13457,0.0016224199459876543,0.9961266471535879,"14,0,2139,3815",
0024.jpg,0024.jpg,colmap_tracks,1,ok,3638,3365,70991,0,15440,0.0018614969135802469,0.9952078397754885,"0,0,2159,3840",
0025.jpg,0025.jpg,colmap_tracks,1,ok,4163,3803,94678,0,15305,0.0018452208719135802,0.9946929983640357,"0,0,2155,3840",
0026.jpg,0026.jpg,colmap_tracks,1,ok,3947,3416,136078,0,12317,0.0014849778163580248,0.9953461378460594,"0,0,2160,3840",
0027.jpg,0027.jpg,colmap_tracks,1,ok,4162,3583,146466,0,16693,0.0020125626929012345,0.993483519859591,"0,0,2160,3840",
0028.jpg,0028.jpg,colmap_tracks,1,ok,2544,2075,119452,0,12386,0.0014932966820987654,0.9952001605888464,"0,13,2135,3840",
0029.jpg,0029.jpg,colmap_tracks,1,ok,2591,2177,105065,0,15117,0.001822554976851852,0.9938925086368259,"0,0,2125,3840",
0030.jpg,0030.jpg,colmap_tracks,1,ok,2202,1852,89922,0,13274,0.0016003568672839506,0.9946317681719743,"0,0,2155,3840",
0031.jpg,0031.jpg,colmap_tracks,1,ok,3652,3127,131027,0,14986,0.001806761188271605,0.9938728090672286,"0,0,2139,3840",
0032.jpg,0032.jpg,colmap_tracks,1,ok,4786,4201,146056,0,12320,0.0014853395061728396,0.9950026284876137,"0,82,2160,3840",
0033.jpg,0033.jpg,colmap_tracks,1,ok,4368,3789,145326,0,9333,0.001125217013888889,0.9960576521381735,"0,0,2157,3840",
0034.jpg,0034.jpg,colmap_tracks,1,ok,3796,3189,153557,0,14440,0.0017409336419753087,0.9935746860428742,"0,0,2160,3840",
0035.jpg,0035.jpg,colmap_tracks,1,ok,2217,1762,117191,0,9981,0.001203342013888889,0.9956652783628728,"0,6,2154,3840",
0036.jpg,0036.jpg,colmap_tracks,1,ok,980,685,77122,0,5476,0.000660204475308642,0.9976666018973986,"0,0,2160,3840",
0037.jpg,0037.jpg,colmap_tracks,1,ok,1888,1626,67330,0,4908,0.0005917245370370371,0.997998490303811,"0,0,2137,3840",
0038.jpg,0038.jpg,colmap_tracks,1,ok,1864,1572,73419,0,5878,0.0007086709104938271,0.9977553705185216,"0,118,2115,3837",
0039.jpg,0039.jpg,colmap_tracks,1,ok,2306,1844,113221,0,8350,0.0010067033179012345,0.9966842224183892,"15,24,2095,3840",
0040.jpg,0040.jpg,colmap_tracks,1,ok,4054,3248,189629,0,17589,0.002120587384259259,0.992982740309926,"0,89,2160,3840",
0041.jpg,0041.jpg,colmap_tracks,1,ok,4349,3531,191990,0,22010,0.0026535976080246915,0.9913861220681603,"99,65,2160,3840",
0042.jpg,0042.jpg,colmap_tracks,1,ok,3773,2992,186042,0,19728,0.0023784722222222224,0.9925299777807733,"0,169,2153,3840",
0043.jpg,0043.jpg,colmap_tracks,1,ok,2742,2104,155153,0,16685,0.002011598186728395,0.9937978957823461,"0,233,2151,3840",
0044.jpg,0044.jpg,colmap_tracks,1,ok,1570,1312,67737,0,4664,0.0005623070987654321,0.9981592871736967,"0,305,2130,3819",
0045.jpg,0045.jpg,colmap_tracks,1,ok,1366,1115,65628,0,4194,0.0005056423611111111,0.9981838392875315,"0,0,2111,3833",
0046.jpg,0046.jpg,colmap_tracks,1,ok,607,448,42186,0,1430,0.00017240547839506172,0.9993804605041405,"0,0,2117,3832",
0047.jpg,0047.jpg,colmap_tracks,1,ok,1800,1331,111978,0,2290,0.00027608989197530864,0.9989001694891647,"0,0,2079,3836",
0048.jpg,0048.jpg,colmap_tracks,1,ok,2064,1453,146540,0,5509,0.0006641830632716049,0.9971122702566981,"0,0,2160,3840",
0049.jpg,0049.jpg,colmap_tracks,1,ok,1801,1198,152454,0,7003,0.0008443045910493828,0.9962759666639723,"0,0,2159,3835",
0050.jpg,0050.jpg,colmap_tracks,1,ok,1945,1263,169523,0,6675,0.000804759837962963,0.9965084346802667,"0,0,2160,3838",
0051.jpg,0051.jpg,colmap_tracks,1,ok,1291,845,114196,0,6060,0.0007306134259259259,0.9969105544331249,"0,0,2160,3840",
0052.jpg,0052.jpg,colmap_tracks,1,ok,1367,907,117701,0,6120,0.0007378472222222222,0.9969588324301761,"0,0,2134,3840",
0053.jpg,0053.jpg,colmap_tracks,1,ok,1908,1438,120964,0,7220,0.0008704668209876543,0.9965009242018763,"0,0,2160,3840",
0054.jpg,0054.jpg,colmap_tracks,1,ok,2152,1605,138282,0,6700,0.0008077739197530864,0.9968363052389368,"0,0,2160,3840",
0055.jpg,0055.jpg,colmap_tracks,1,ok,1993,1265,177798,0,8262,0.00099609375,0.9959816894996713,"0,0,2160,3840",
0056.jpg,0056.jpg,colmap_tracks,1,ok,2589,1774,200080,0,8006,0.0009652295524691358,0.9959685825383126,"0,0,2160,3840",
0057.jpg,0057.jpg,colmap_tracks,1,ok,1772,1179,157059,0,7024,0.0008468364197530865,0.9964389103795825,"0,0,2132,3840",
0058.jpg,0058.jpg,colmap_tracks,1,ok,1600,945,170362,0,9132,0.0011009837962962963,0.9952496359978964,"0,0,2153,3840",
0059.jpg,0059.jpg,colmap_tracks,1,ok,1373,700,174669,0,5205,0.0006275318287037037,0.9972063680852914,"0,0,2155,3840",
0060.jpg,0060.jpg,colmap_tracks,1,ok,3207,2067,276123,0,15317,0.0018466676311728394,0.9913655916827372,"0,0,2160,3840",
0061.jpg,0061.jpg,colmap_tracks,1,ok,2810,1765,260276,0,12591,0.0015180121527777778,0.9928712649300885,"0,0,2160,3834",
0062.jpg,0062.jpg,colmap_tracks,1,ok,3410,2259,284215,0,17634,0.0021260127314814813,0.9900519292228105,"0,0,2160,3780",
0063.jpg,0063.jpg,colmap_tracks,1,ok,2750,1541,284001,0,14289,0.001722728587962963,0.9912979188451305,"0,0,2132,3840",
0064.jpg,0064.jpg,colmap_tracks,1,ok,3064,1899,286773,0,18351,0.0022124565972222224,0.9887651042951696,"0,0,2160,3840",
0065.jpg,0065.jpg,colmap_tracks,1,ok,2642,1547,265506,0,16852,0.00203173225308642,0.9895857666376215,"0,0,2160,3840",
0066.jpg,0066.jpg,colmap_tracks,1,ok,1749,1001,192801,0,10360,0.0012490354938271605,0.9934540459493119,"0,0,2160,3840",
0067.jpg,0067.jpg,colmap_tracks,1,ok,1544,848,178524,0,7472,0.0009008487654320988,0.9951176450216903,"0,0,2143,3840",
0068.jpg,0068.jpg,colmap_tracks,1,ok,864,410,120360,0,1987,0.00023955922067901234,0.9986591854568521,"0,63,2143,3680",
0069.jpg,0069.jpg,colmap_tracks,1,ok,763,488,72003,0,3073,0.0003704909336419753,0.9980896989830584,"36,69,2138,3799",
0070.jpg,0070.jpg,colmap_tracks,1,ok,571,253,84599,0,1717,0.000207007137345679,0.9989750281762785,"0,6,2104,3807",
0071.jpg,0071.jpg,colmap_tracks,1,ok,600,143,122203,0,1008,0.00012152777777777777,0.9993300772072726,"6,0,2141,3581",
